Palm_Position_X,Palm_Position_Y,Palm_Position_Z,Palm_Velocity_X,Palm_Velocity_Y,Palm_Velocity_Z,thumb,index,middle,ring,pinky
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
